variable,type
school,factor
sex,factor
age,integer
address,factor
famsize,factor
pstatus,factor
medu,integer
fedu,integer
mjob,factor
fjob,factor
reason,factor
guardian,factor
traveltime,integer
studytime,integer
failures,integer
schoolsup,factor
famsup,factor
paid,factor
activities,factor
nursery,factor
higher,factor
internet,factor
romantic,factor
famrel,integer
freetime,integer
goout,integer
dalc,integer
walc,integer
health,integer
absences,integer
g1,integer
g2,integer
g3,integer
failed,factor
